2026-02-16,Correcciones ortografícas 2
2026-02-11,Cambios ortografícos menores, y adicion simple de textos
2026-01-28,desconozco si se agrego lo demas pero se corrigio unicamente un texto, quiero una cocax2
2026-01-28,Se han agregado los numeros de telefono, las aplicaciones y algunos recursos, quiero una coca
2025-12-23,cambios menores en diseño, mejora legibilidad
2025-12-23,ligera correccion de colores respuesta IA
2025-12-23,versionFinal
2025-12-22,Cambios mayores en diseño
2025-12-22,Maquetado inicial
2025-12-22,Initial commit
